status	cs_loc	cs_sha256_16	cs_path	rs_path	crate
done	3	57158c969ba04bd9	Core/OpenStack.Polyfills/System/Polyfill2.cs	core/polyfills/src/system/polyfill2.rs	openstack-polyfills
done	15	2d1a34c699061236	Core/OpenStack.Polyfills/System/StreamExtensions.cs	core/polyfills/src/system/stream_extensions.rs	openstack-polyfills
done	28	a3ad71a04ce54244	Core/OpenStack.Polyfills/System/ThreadSafeRandom.cs	core/polyfills/src/system/thread_safe_random.rs	openstack-polyfills
done	18	4bb05d80da4f6254	Core/OpenStack.PolyIO/ISource.cs	core/polyio/src/i_source.rs	openstack-polyio
done	66	7960ac6d2b667aaa	Core/OpenStack.PolyIO/System.Drawing/BoundingBox.cs	core/polyio/src/system_drawing/bounding_box.rs	openstack-polyio
done	61	6af56aa928ca1446	Core/OpenStack.PolyIO/System.Drawing/BoundingFrustum.cs	core/polyio/src/system_drawing/bounding_frustum.rs	openstack-polyio
done	71	bb5941bfb1e54da2	Core/OpenStack.PolyIO/System.Drawing/BoundingSphere.cs	core/polyio/src/system_drawing/bounding_sphere.rs	openstack-polyio
done	91	63b58b2c3684b4ac	Core/OpenStack.PolyIO/System.Drawing/Curve.cs	core/polyio/src/system_drawing/curve.rs	openstack-polyio
done	72	22ea33d158adde89	Core/OpenStack.PolyIO/System.Drawing/Point3D.cs	core/polyio/src/system_drawing/point3_d.rs	openstack-polyio
done	66	00d4fe073ecc8aea	Core/OpenStack.PolyIO/System.Drawing/Ray.cs	core/polyio/src/system_drawing/ray.rs	openstack-polyio
done	458	4e382e50fb2843b0	Core/OpenStack.PolyIO/System.Drawing/Rectangle.cs	core/polyio/src/system_drawing/rectangle.rs	openstack-polyio
done	61	09d3020aa16a4f8f	Core/OpenStack.PolyIO/System.IO/BitStream.cs	core/polyio/src/system_io/bit_stream.rs	openstack-polyio
done	41	a89b134615be4c19	Core/OpenStack.PolyIO/System.IO/ByteXorStream.cs	core/polyio/src/system_io/byte_xor_stream.rs	openstack-polyio
done	96	af0a78b40bbe84f8	Core/OpenStack.PolyIO/System.IO/CircularBuffer.cs	core/polyio/src/system_io/circular_buffer.rs	openstack-polyio
